vendor,s1,s2,s3,a1,a2,a3,i_d,cost
V2,Instrument_C,Instrument_C,Instrument_C,Device_C,Device_C,Device_C,3_3,3011073
V2,Instrument_C,Instrument_C,Instrument_C,Device_C,Device_C,Device_D,3_3,2482848
V2,Instrument_C,Instrument_C,Instrument_C,Device_C,Device_C,0,3_2,2330945
V2,Instrument_C,Instrument_C,Instrument_C,Device_C,Device_D,Device_C,3_3,2482848
V2,Instrument_C,Instrument_C,Instrument_C,Device_C,Device_D,Device_D,3_3,1954623
V2,Instrument_C,Instrument_C,Instrument_C,Device_C,Device_D,0,3_2,1802720
V2,Instrument_C,Instrument_C,Instrument_C,Device_C,0,Device_C,3_2,2330945
V2,Instrument_C,Instrument_C,Instrument_C,Device_C,0,Device_D,3_2,1802720
V2,Instrument_C,Instrument_C,Instrument_C,Device_C,0,0,3_1,1650817
V2,Instrument_C,Instrument_C,Instrument_C,Device_D,Device_C,Device_C,3_3,2482848
V2,Instrument_C,Instrument_C,Instrument_C,Device_D,Device_C,Device_D,3_3,1954623
V2,Instrument_C,Instrument_C,Instrument_C,Device_D,Device_C,0,3_2,1802720
V2,Instrument_C,Instrument_C,Instrument_C,Device_D,Device_D,Device_C,3_3,1954623
V2,Instrument_C,Instrument_C,Instrument_C,Device_D,Device_D,Device_D,3_3,1426398
V2,Instrument_C,Instrument_C,Instrument_C,Device_D,Device_D,0,3_2,1274495
V2,Instrument_C,Instrument_C,Instrument_C,Device_D,0,Device_C,3_2,1802720
V2,Instrument_C,Instrument_C,Instrument_C,Device_D,0,Device_D,3_2,1274495
V2,Instrument_C,Instrument_C,Instrument_C,Device_D,0,0,3_1,1122592
V2,Instrument_C,Instrument_C,Instrument_C,0,0,0,3_0,970689
V2,Instrument_C,Instrument_C,Instrument_C,0,Device_C,Device_C,3_2,2330945
V2,Instrument_C,Instrument_C,Instrument_C,0,Device_C,Device_D,3_2,1802720
V2,Instrument_C,Instrument_C,Instrument_C,0,Device_C,0,3_1,1650817
V2,Instrument_C,Instrument_C,Instrument_C,0,Device_D,Device_C,3_2,1802720
V2,Instrument_C,Instrument_C,Instrument_C,0,Device_D,Device_D,3_2,1274495
V2,Instrument_C,Instrument_C,Instrument_C,0,Device_D,0,3_1,1122592
V2,Instrument_C,Instrument_C,Instrument_C,0,0,Device_C,3_1,1650817
V2,Instrument_C,Instrument_C,Instrument_C,0,0,Device_D,3_1,1122592
V2,Instrument_C,Instrument_C,0,Device_C,Device_C,Device_C,2_3,2687510
V2,Instrument_C,Instrument_C,0,Device_C,Device_C,Device_D,2_3,2159285
V2,Instrument_C,Instrument_C,0,Device_C,Device_C,0,2_2,2007382
V2,Instrument_C,Instrument_C,0,Device_C,Device_D,Device_C,2_3,2159285
V2,Instrument_C,Instrument_C,0,Device_C,Device_D,Device_D,2_3,1631060
V2,Instrument_C,Instrument_C,0,Device_C,Device_D,0,2_2,1479157
V2,Instrument_C,Instrument_C,0,Device_C,0,Device_C,2_2,2007382
V2,Instrument_C,Instrument_C,0,Device_C,0,Device_D,2_2,1479157
V2,Instrument_C,Instrument_C,0,Device_C,0,0,2_1,1327254
V2,Instrument_C,Instrument_C,0,Device_D,Device_C,Device_C,2_3,2159285
V2,Instrument_C,Instrument_C,0,Device_D,Device_C,Device_D,2_3,1631060
V2,Instrument_C,Instrument_C,0,Device_D,Device_C,0,2_2,1479157
V2,Instrument_C,Instrument_C,0,Device_D,Device_D,Device_C,2_3,1631060
V2,Instrument_C,Instrument_C,0,Device_D,Device_D,Device_D,2_3,1102835
V2,Instrument_C,Instrument_C,0,Device_D,Device_D,0,2_2,950932
V2,Instrument_C,Instrument_C,0,Device_D,0,Device_C,2_2,1479157
V2,Instrument_C,Instrument_C,0,Device_D,0,Device_D,2_2,950932
V2,Instrument_C,Instrument_C,0,Device_D,0,0,2_1,799029
V2,Instrument_C,Instrument_C,0,0,0,0,2_0,647126
V2,Instrument_C,Instrument_C,0,0,Device_C,Device_C,2_2,2007382
V2,Instrument_C,Instrument_C,0,0,Device_C,Device_D,2_2,1479157
V2,Instrument_C,Instrument_C,0,0,Device_C,0,2_1,1327254
V2,Instrument_C,Instrument_C,0,0,Device_D,Device_C,2_2,1479157
V2,Instrument_C,Instrument_C,0,0,Device_D,Device_D,2_2,950932
V2,Instrument_C,Instrument_C,0,0,Device_D,0,2_1,799029
V2,Instrument_C,Instrument_C,0,0,0,Device_C,2_1,1327254
V2,Instrument_C,Instrument_C,0,0,0,Device_D,2_1,799029
V2,Instrument_C,0,Instrument_C,Device_C,Device_C,Device_C,2_3,2687510
V2,Instrument_C,0,Instrument_C,Device_C,Device_C,Device_D,2_3,2159285
V2,Instrument_C,0,Instrument_C,Device_C,Device_C,0,2_2,2007382
V2,Instrument_C,0,Instrument_C,Device_C,Device_D,Device_C,2_3,2159285
V2,Instrument_C,0,Instrument_C,Device_C,Device_D,Device_D,2_3,1631060
V2,Instrument_C,0,Instrument_C,Device_C,Device_D,0,2_2,1479157
V2,Instrument_C,0,Instrument_C,Device_C,0,Device_C,2_2,2007382
V2,Instrument_C,0,Instrument_C,Device_C,0,Device_D,2_2,1479157
V2,Instrument_C,0,Instrument_C,Device_C,0,0,2_1,1327254
V2,Instrument_C,0,Instrument_C,Device_D,Device_C,Device_C,2_3,2159285
V2,Instrument_C,0,Instrument_C,Device_D,Device_C,Device_D,2_3,1631060
V2,Instrument_C,0,Instrument_C,Device_D,Device_C,0,2_2,1479157
V2,Instrument_C,0,Instrument_C,Device_D,Device_D,Device_C,2_3,1631060
V2,Instrument_C,0,Instrument_C,Device_D,Device_D,Device_D,2_3,1102835
V2,Instrument_C,0,Instrument_C,Device_D,Device_D,0,2_2,950932
V2,Instrument_C,0,Instrument_C,Device_D,0,Device_C,2_2,1479157
V2,Instrument_C,0,Instrument_C,Device_D,0,Device_D,2_2,950932
V2,Instrument_C,0,Instrument_C,Device_D,0,0,2_1,799029
V2,Instrument_C,0,Instrument_C,0,0,0,2_0,647126
V2,Instrument_C,0,Instrument_C,0,Device_C,Device_C,2_2,2007382
