vendor,I1,I2,I3,A1,A2,A3,i_d,cost
V3,Instrument_E,Instrument_E,Instrument_E,Device_E,Device_E,Device_E,3_3,4910159.07
V3,Instrument_E,Instrument_E,Instrument_E,Device_E,Device_E,Device_F,3_3,4674035.23
V3,Instrument_E,Instrument_E,Instrument_E,Device_E,Device_E,0,3_2,4257624.63
V3,Instrument_E,Instrument_E,Instrument_E,Device_E,Device_F,Device_E,3_3,4674035.23
V3,Instrument_E,Instrument_E,Instrument_E,Device_E,Device_F,Device_F,3_3,4437911.39
V3,Instrument_E,Instrument_E,Instrument_E,Device_E,Device_F,0,3_2,4021500.79
V3,Instrument_E,Instrument_E,Instrument_E,Device_E,0,Device_E,3_2,4257624.63
V3,Instrument_E,Instrument_E,Instrument_E,Device_E,0,Device_F,3_2,4021500.79
V3,Instrument_E,Instrument_E,Instrument_E,Device_E,0,0,3_1,3605090.19
V3,Instrument_E,Instrument_E,Instrument_E,Device_F,Device_E,Device_E,3_3,4674035.23
V3,Instrument_E,Instrument_E,Instrument_E,Device_F,Device_E,Device_F,3_3,4437911.39
V3,Instrument_E,Instrument_E,Instrument_E,Device_F,Device_E,0,3_2,4021500.79
V3,Instrument_E,Instrument_E,Instrument_E,Device_F,Device_F,Device_E,3_3,4437911.39
V3,Instrument_E,Instrument_E,Instrument_E,Device_F,Device_F,Device_F,3_3,4201787.55
V3,Instrument_E,Instrument_E,Instrument_E,Device_F,Device_F,0,3_2,3785376.95
V3,Instrument_E,Instrument_E,Instrument_E,Device_F,0,Device_E,3_2,4021500.79
V3,Instrument_E,Instrument_E,Instrument_E,Device_F,0,Device_F,3_2,3785376.95
V3,Instrument_E,Instrument_E,Instrument_E,Device_F,0,0,3_1,3368966.35
V3,Instrument_E,Instrument_E,Instrument_E,0,Device_E,Device_E,3_2,4257624.63
V3,Instrument_E,Instrument_E,Instrument_E,0,Device_E,Device_F,3_2,4021500.79
V3,Instrument_E,Instrument_E,Instrument_E,0,Device_E,0,3_1,3605090.19
V3,Instrument_E,Instrument_E,Instrument_E,0,Device_F,Device_E,3_2,4021500.79
V3,Instrument_E,Instrument_E,Instrument_E,0,Device_F,Device_F,3_2,3785376.95
V3,Instrument_E,Instrument_E,Instrument_E,0,Device_F,0,3_1,3368966.35
V3,Instrument_E,Instrument_E,Instrument_E,0,0,Device_E,3_1,3605090.19
V3,Instrument_E,Instrument_E,Instrument_E,0,0,Device_F,3_1,3368966.35
V3,Instrument_E,Instrument_E,Instrument_E,0,0,0,3_0,2952555.75
V3,Instrument_E,Instrument_E,0,Device_E,Device_E,Device_E,2_3,3925973.82
V3,Instrument_E,Instrument_E,0,Device_E,Device_E,Device_F,2_3,3689849.98
V3,Instrument_E,Instrument_E,0,Device_E,Device_E,0,2_2,3273439.38
V3,Instrument_E,Instrument_E,0,Device_E,Device_F,Device_E,2_3,3689849.98
V3,Instrument_E,Instrument_E,0,Device_E,Device_F,Device_F,2_3,3453726.14
V3,Instrument_E,Instrument_E,0,Device_E,Device_F,0,2_2,3037315.54
V3,Instrument_E,Instrument_E,0,Device_E,0,Device_E,2_2,3273439.38
V3,Instrument_E,Instrument_E,0,Device_E,0,Device_F,2_2,3037315.54
V3,Instrument_E,Instrument_E,0,Device_E,0,0,2_1,2620904.94
V3,Instrument_E,Instrument_E,0,Device_F,Device_E,Device_E,2_3,3689849.98
V3,Instrument_E,Instrument_E,0,Device_F,Device_E,Device_F,2_3,3453726.14
V3,Instrument_E,Instrument_E,0,Device_F,Device_E,0,2_2,3037315.54
V3,Instrument_E,Instrument_E,0,Device_F,Device_F,Device_E,2_3,3453726.14
V3,Instrument_E,Instrument_E,0,Device_F,Device_F,Device_F,2_3,3217602.3
V3,Instrument_E,Instrument_E,0,Device_F,Device_F,0,2_2,2801191.7
V3,Instrument_E,Instrument_E,0,Device_F,0,Device_E,2_2,3037315.54
V3,Instrument_E,Instrument_E,0,Device_F,0,Device_F,2_2,2801191.7
V3,Instrument_E,Instrument_E,0,Device_F,0,0,2_1,2384781.1
V3,Instrument_E,Instrument_E,0,0,Device_E,Device_E,2_2,3273439.38
V3,Instrument_E,Instrument_E,0,0,Device_E,Device_F,2_2,3037315.54
V3,Instrument_E,Instrument_E,0,0,Device_E,0,2_1,2620904.94
V3,Instrument_E,Instrument_E,0,0,Device_F,Device_E,2_2,3037315.54
V3,Instrument_E,Instrument_E,0,0,Device_F,Device_F,2_2,2801191.7
V3,Instrument_E,Instrument_E,0,0,Device_F,0,2_1,2384781.1
V3,Instrument_E,Instrument_E,0,0,0,Device_E,2_1,2620904.94
V3,Instrument_E,Instrument_E,0,0,0,Device_F,2_1,2384781.1
V3,Instrument_E,Instrument_E,0,0,0,0,2_0,1968370.5
V3,Instrument_E,0,Instrument_E,Device_E,Device_E,Device_E,2_3,3925973.82
V3,Instrument_E,0,Instrument_E,Device_E,Device_E,Device_F,2_3,3689849.98
V3,Instrument_E,0,Instrument_E,Device_E,Device_E,0,2_2,3273439.38
V3,Instrument_E,0,Instrument_E,Device_E,Device_F,Device_E,2_3,3689849.98
V3,Instrument_E,0,Instrument_E,Device_E,Device_F,Device_F,2_3,3453726.14
V3,Instrument_E,0,Instrument_E,Device_E,Device_F,0,2_2,3037315.54
V3,Instrument_E,0,Instrument_E,Device_E,0,Device_E,2_2,3273439.38
V3,Instrument_E,0,Instrument_E,Device_E,0,Device_F,2_2,3037315.54
V3,Instrument_E,0,Instrument_E,Device_E,0,0,2_1,2620904.94
V3,Instrument_E,0,Instrument_E,Device_F,Device_E,Device_E,2_3,3689849.98
V3,Instrument_E,0,Instrument_E,Device_F,Device_E,Device_F,2_3,3453726.14
V3,Instrument_E,0,Instrument_E,Device_F,Device_E,0,2_2,3037315.54
V3,Instrument_E,0,Instrument_E,Device_F,Device_F,Device_E,2_3,3453726.14
V3,Instrument_E,0,Instrument_E,Device_F,Device_F,Device_F,2_3,3217602.3
V3,Instrument_E,0,Instrument_E,Device_F,Device_F,0,2_2,2801191.7
V3,Instrument_E,0,Instrument_E,Device_F,0,Device_E,2_2,3037315.54
V3,Instrument_E,0,Instrument_E,Device_F,0,Device_F,2_2,2801191.7
V3,Instrument_E,0,Instrument_E,Device_F,0,0,2_1,2384781.1
V3,Instrument_E,0,Instrument_E,0,Device_E,Device_E,2_2,3273439.38
V3,Instrument_E,0,Instrument_E,0,Device_E,Device_F,2_2,3037315.54
V3,Instrument_E,0,Instrument_E,0,Device_E,0,2_1,2620904.94
V3,Instrument_E,0,Instrument_E,0,Device_F,Device_E,2_2,3037315.54
V3,Instrument_E,0,Instrument_E,0,Device_F,Device_F,2_2,2801191.7
V3,Instrument_E,0,Instrument_E,0,Device_F,0,2_1,2384781.1
V3,Instrument_E,0,Instrument_E,0,0,Device_E,2_1,2620904.94
V3,Instrument_E,0,Instrument_E,0,0,Device_F,2_1,2384781.1
V3,Instrument_E,0,Instrument_E,0,0,0,2_0,1968370.5
V3,Instrument_E,0,0,Device_E,Device_E,Device_E,1_3,2941788.57
V3,Instrument_E,0,0,Device_E,Device_E,Device_F,1_3,2705664.73
V3,Instrument_E,0,0,Device_E,Device_E,0,1_2,2289254.13
V3,Instrument_E,0,0,Device_E,Device_F,Device_E,1_3,2705664.73
V3,Instrument_E,0,0,Device_E,Device_F,Device_F,1_3,2469540.89
V3,Instrument_E,0,0,Device_E,Device_F,0,1_2,2053130.29
V3,Instrument_E,0,0,Device_E,0,Device_E,1_2,2289254.13
V3,Instrument_E,0,0,Device_E,0,Device_F,1_2,2053130.29
V3,Instrument_E,0,0,Device_E,0,0,1_1,1636719.69
V3,Instrument_E,0,0,Device_F,Device_E,Device_E,1_3,2705664.73
V3,Instrument_E,0,0,Device_F,Device_E,Device_F,1_3,2469540.89
V3,Instrument_E,0,0,Device_F,Device_E,0,1_2,2053130.29
V3,Instrument_E,0,0,Device_F,Device_F,Device_E,1_3,2469540.89
V3,Instrument_E,0,0,Device_F,Device_F,Device_F,1_3,2233417.05
V3,Instrument_E,0,0,Device_F,Device_F,0,1_2,1817006.45
V3,Instrument_E,0,0,Device_F,0,Device_E,1_2,2053130.29
V3,Instrument_E,0,0,Device_F,0,Device_F,1_2,1817006.45
V3,Instrument_E,0,0,Device_F,0,0,1_1,1400595.85
V3,Instrument_E,0,0,0,Device_E,Device_E,1_2,2289254.13
V3,Instrument_E,0,0,0,Device_E,Device_F,1_2,2053130.29
V3,Instrument_E,0,0,0,Device_E,0,1_1,1636719.69
V3,Instrument_E,0,0,0,Device_F,Device_E,1_2,2053130.29
V3,Instrument_E,0,0,0,Device_F,Device_F,1_2,1817006.45
V3,Instrument_E,0,0,0,Device_F,0,1_1,1400595.85
V3,Instrument_E,0,0,0,0,Device_E,1_1,1636719.69
V3,Instrument_E,0,0,0,0,Device_F,1_1,1400595.85
V3,Instrument_E,0,0,0,0,0,1_0,984185.25
V3,0,Instrument_E,Instrument_E,Device_E,Device_E,Device_E,2_3,3925973.82
V3,0,Instrument_E,Instrument_E,Device_E,Device_E,Device_F,2_3,3689849.98
V3,0,Instrument_E,Instrument_E,Device_E,Device_E,0,2_2,3273439.38
V3,0,Instrument_E,Instrument_E,Device_E,Device_F,Device_E,2_3,3689849.98
V3,0,Instrument_E,Instrument_E,Device_E,Device_F,Device_F,2_3,3453726.14
V3,0,Instrument_E,Instrument_E,Device_E,Device_F,0,2_2,3037315.54
V3,0,Instrument_E,Instrument_E,Device_E,0,Device_E,2_2,3273439.38
V3,0,Instrument_E,Instrument_E,Device_E,0,Device_F,2_2,3037315.54
V3,0,Instrument_E,Instrument_E,Device_E,0,0,2_1,2620904.94
V3,0,Instrument_E,Instrument_E,Device_F,Device_E,Device_E,2_3,3689849.98
V3,0,Instrument_E,Instrument_E,Device_F,Device_E,Device_F,2_3,3453726.14
V3,0,Instrument_E,Instrument_E,Device_F,Device_E,0,2_2,3037315.54
V3,0,Instrument_E,Instrument_E,Device_F,Device_F,Device_E,2_3,3453726.14
V3,0,Instrument_E,Instrument_E,Device_F,Device_F,Device_F,2_3,3217602.3
V3,0,Instrument_E,Instrument_E,Device_F,Device_F,0,2_2,2801191.7
V3,0,Instrument_E,Instrument_E,Device_F,0,Device_E,2_2,3037315.54
V3,0,Instrument_E,Instrument_E,Device_F,0,Device_F,2_2,2801191.7
V3,0,Instrument_E,Instrument_E,Device_F,0,0,2_1,2384781.1
V3,0,Instrument_E,Instrument_E,0,Device_E,Device_E,2_2,3273439.38
V3,0,Instrument_E,Instrument_E,0,Device_E,Device_F,2_2,3037315.54
V3,0,Instrument_E,Instrument_E,0,Device_E,0,2_1,2620904.94
V3,0,Instrument_E,Instrument_E,0,Device_F,Device_E,2_2,3037315.54
V3,0,Instrument_E,Instrument_E,0,Device_F,Device_F,2_2,2801191.7
V3,0,Instrument_E,Instrument_E,0,Device_F,0,2_1,2384781.1
V3,0,Instrument_E,Instrument_E,0,0,Device_E,2_1,2620904.94
V3,0,Instrument_E,Instrument_E,0,0,Device_F,2_1,2384781.1
V3,0,Instrument_E,Instrument_E,0,0,0,2_0,1968370.5
V3,0,Instrument_E,0,Device_E,Device_E,Device_E,1_3,2941788.57
V3,0,Instrument_E,0,Device_E,Device_E,Device_F,1_3,2705664.73
V3,0,Instrument_E,0,Device_E,Device_E,0,1_2,2289254.13
V3,0,Instrument_E,0,Device_E,Device_F,Device_E,1_3,2705664.73
V3,0,Instrument_E,0,Device_E,Device_F,Device_F,1_3,2469540.89
V3,0,Instrument_E,0,Device_E,Device_F,0,1_2,2053130.29
V3,0,Instrument_E,0,Device_E,0,Device_E,1_2,2289254.13
V3,0,Instrument_E,0,Device_E,0,Device_F,1_2,2053130.29
V3,0,Instrument_E,0,Device_E,0,0,1_1,1636719.69
V3,0,Instrument_E,0,Device_F,Device_E,Device_E,1_3,2705664.73
V3,0,Instrument_E,0,Device_F,Device_E,Device_F,1_3,2469540.89
V3,0,Instrument_E,0,Device_F,Device_E,0,1_2,2053130.29
V3,0,Instrument_E,0,Device_F,Device_F,Device_E,1_3,2469540.89
V3,0,Instrument_E,0,Device_F,Device_F,Device_F,1_3,2233417.05
V3,0,Instrument_E,0,Device_F,Device_F,0,1_2,1817006.45
V3,0,Instrument_E,0,Device_F,0,Device_E,1_2,2053130.29
V3,0,Instrument_E,0,Device_F,0,Device_F,1_2,1817006.45
V3,0,Instrument_E,0,Device_F,0,0,1_1,1400595.85
V3,0,Instrument_E,0,0,Device_E,Device_E,1_2,2289254.13
V3,0,Instrument_E,0,0,Device_E,Device_F,1_2,2053130.29
V3,0,Instrument_E,0,0,Device_E,0,1_1,1636719.69
V3,0,Instrument_E,0,0,Device_F,Device_E,1_2,2053130.29
V3,0,Instrument_E,0,0,Device_F,Device_F,1_2,1817006.45
V3,0,Instrument_E,0,0,Device_F,0,1_1,1400595.85
V3,0,Instrument_E,0,0,0,Device_E,1_1,1636719.69
V3,0,Instrument_E,0,0,0,Device_F,1_1,1400595.85
V3,0,Instrument_E,0,0,0,0,1_0,984185.25
V3,0,0,Instrument_E,Device_E,Device_E,Device_E,1_3,2941788.57
V3,0,0,Instrument_E,Device_E,Device_E,Device_F,1_3,2705664.73
V3,0,0,Instrument_E,Device_E,Device_E,0,1_2,2289254.13
V3,0,0,Instrument_E,Device_E,Device_F,Device_E,1_3,2705664.73
V3,0,0,Instrument_E,Device_E,Device_F,Device_F,1_3,2469540.89
V3,0,0,Instrument_E,Device_E,Device_F,0,1_2,2053130.29
V3,0,0,Instrument_E,Device_E,0,Device_E,1_2,2289254.13
V3,0,0,Instrument_E,Device_E,0,Device_F,1_2,2053130.29
V3,0,0,Instrument_E,Device_E,0,0,1_1,1636719.69
V3,0,0,Instrument_E,Device_F,Device_E,Device_E,1_3,2705664.73
V3,0,0,Instrument_E,Device_F,Device_E,Device_F,1_3,2469540.89
V3,0,0,Instrument_E,Device_F,Device_E,0,1_2,2053130.29
V3,0,0,Instrument_E,Device_F,Device_F,Device_E,1_3,2469540.89
V3,0,0,Instrument_E,Device_F,Device_F,Device_F,1_3,2233417.05
V3,0,0,Instrument_E,Device_F,Device_F,0,1_2,1817006.45
V3,0,0,Instrument_E,Device_F,0,Device_E,1_2,2053130.29
V3,0,0,Instrument_E,Device_F,0,Device_F,1_2,1817006.45
V3,0,0,Instrument_E,Device_F,0,0,1_1,1400595.85
V3,0,0,Instrument_E,0,Device_E,Device_E,1_2,2289254.13
V3,0,0,Instrument_E,0,Device_E,Device_F,1_2,2053130.29
V3,0,0,Instrument_E,0,Device_E,0,1_1,1636719.69
V3,0,0,Instrument_E,0,Device_F,Device_E,1_2,2053130.29
V3,0,0,Instrument_E,0,Device_F,Device_F,1_2,1817006.45
V3,0,0,Instrument_E,0,Device_F,0,1_1,1400595.85
V3,0,0,Instrument_E,0,0,Device_E,1_1,1636719.69
V3,0,0,Instrument_E,0,0,Device_F,1_1,1400595.85
V3,0,0,Instrument_E,0,0,0,1_0,984185.25
V3,0,0,0,Device_E,Device_E,Device_E,0_3,1957603.32
V3,0,0,0,Device_E,Device_E,Device_F,0_3,1721479.48
V3,0,0,0,Device_E,Device_E,0,0_2,1305068.88
V3,0,0,0,Device_E,Device_F,Device_E,0_3,1721479.48
V3,0,0,0,Device_E,Device_F,Device_F,0_3,1485355.64
V3,0,0,0,Device_E,Device_F,0,0_2,1068945.04
V3,0,0,0,Device_E,0,Device_E,0_2,1305068.88
V3,0,0,0,Device_E,0,Device_F,0_2,1068945.04
V3,0,0,0,Device_E,0,0,0_1,652534.44
V3,0,0,0,Device_F,Device_E,Device_E,0_3,1721479.48
V3,0,0,0,Device_F,Device_E,Device_F,0_3,1485355.64
V3,0,0,0,Device_F,Device_E,0,0_2,1068945.04
V3,0,0,0,Device_F,Device_F,Device_E,0_3,1485355.64
V3,0,0,0,Device_F,Device_F,Device_F,0_3,1249231.8
V3,0,0,0,Device_F,Device_F,0,0_2,832821.2
